"data";"valor"
"01/06/1986";"18,23"
"01/07/1986";"23,51"
"01/08/1986";"35,55"
"01/09/1986";"39,39"
"01/10/1986";"23,65"
"01/11/1986";"34,32"
"01/12/1986";"83,98"
"01/01/1987";"250,03"
"01/02/1987";"854,45"
"01/03/1987";"314,71"
"01/04/1987";"560,69"
"01/05/1987";"1502,24"
"01/06/1987";"630,28"
"01/07/1987";"154,67"
"01/08/1987";"154,24"
"01/09/1987";"151,44"
"01/10/1987";"195,52"
"01/11/1987";"362,14"
"01/12/1987";"366,05"
"01/01/1988";"606,33"
"01/02/1988";"833,98"
"01/03/1988";"480,08"
"01/04/1988";"1054,31"
"01/05/1988";"762,51"
"01/06/1988";"720,75"
"01/07/1988";"1312,80"
"01/08/1988";"835,07"
"01/09/1988";"1539,21"
"01/10/1988";"3076,43"
"01/11/1988";"1909,30"
"01/12/1988";"1962,12"
"01/01/1989";"1253,74"
"01/02/1989";"1034,67"
"01/03/1989";"829,22"
"01/04/1989";"324,54"
"01/05/1989";"266,37"
"01/06/1989";"1486,02"
"01/07/1989";"3005,24"
"01/08/1989";"2687,61"
"01/09/1989";"6002,01"
"01/10/1989";"10676,54"
"01/11/1989";"14365,32"
"01/12/1989";"51659,46"
"01/01/1990";"36957,20"
"01/02/1990";"438898,83"
"01/03/1990";"3507,42"
"01/04/1990";"73,21"
"01/05/1990";"88,57"
"01/06/1990";"187,11"
"01/07/1990";"339,35"
"01/08/1990";"230,48"
"01/09/1990";"554,26"
"01/10/1990";"524,39"
"01/11/1990";"877,02"
"01/12/1990";"1237,94"
"01/01/1991";"789,54"
"01/02/1991";"166,94"
"01/03/1991";"213,32"
"01/04/1991";"187,77"
"01/05/1991";"198,99"
"01/06/1991";"244,79"
"01/07/1991";"259,48"
"01/08/1991";"434,02"
"01/09/1991";"772,46"
"01/10/1991";"1152,41"
"01/11/1991";"3343,48"
"01/12/1991";"2495,22"
"01/01/1992";"1757,41"
"01/02/1992";"2316,07"
"01/03/1992";"1903,48"
"01/04/1992";"1619,83"
"01/05/1992";"1257,14"
"01/06/1992";"1257,75"
"01/07/1992";"1181,45"
"01/08/1992";"1447,92"
"01/09/1992";"1773,24"
"01/10/1992";"1866,66"
"01/11/1992";"1815,18"
"01/12/1992";"1300,85"
"01/01/1993";"2259,56"
"01/02/1993";"3397,11"
"01/03/1993";"1441,34"
"01/04/1993";"3326,22"
"01/05/1993";"2430,28"
"01/06/1993";"2676,49"
"01/07/1993";"2461,37"
"01/08/1993";"2916,19"
"01/09/1993";"4359,96"
"01/10/1993";"5902,32"
"01/11/1993";"5892,16"
"01/12/1993";"4010,32"
"01/01/1994";"7065,02"
"01/02/1994";"13442,03"
"01/03/1994";"7784,35"
"01/04/1994";"15710,86"
"01/05/1994";"8784,03"
"01/06/1994";"13532,65"
"01/07/1994";"131,03"
"01/08/1994";"56,46"
"01/09/1994";"57,06"
"01/10/1994";"60,30"
"01/11/1994";"65,36"
"01/12/1994";"53,25"
"01/01/1995";"46,25"
"01/02/1995";"56,54"
"01/03/1995";"57,98"
"01/04/1995";"85,47"
"01/05/1995";"61,05"
"01/06/1995";"60,84"
"01/07/1995";"60,53"
"01/08/1995";"51,11"
"01/09/1995";"51,00"
"01/10/1995";"44,11"
"01/11/1995";"42,93"
"01/12/1995";"41,22"
"01/01/1996";"33,83"
"01/02/1996";"36,11"
"01/03/1996";"30,16"
"01/04/1996";"29,42"
"01/05/1996";"25,64"
"01/06/1996";"29,65"
"01/07/1996";"23,28"
"01/08/1996";"25,01"
"01/09/1996";"25,40"
"01/10/1996";"23,48"
"01/11/1996";"25,27"
"01/12/1996";"23,94"
"01/01/1997";"21,73"
"01/02/1997";"26,14"
"01/03/1997";"24,11"
"01/04/1997";"21,84"
"01/05/1997";"21,91"
"01/06/1997";"21,08"
"01/07/1997";"19,04"
"01/08/1997";"20,78"
"01/09/1997";"19,81"
"01/10/1997";"19,93"
"01/11/1997";"45,90"
"01/12/1997";"39,87"
"01/01/1998";"37,19"
"01/02/1998";"34,32"
"01/03/1998";"28,32"
"01/04/1998";"25,16"
"01/05/1998";"22,60"
"01/06/1998";"21,02"
"01/07/1998";"20,33"
"01/08/1998";"19,23"
"01/09/1998";"34,29"
"01/10/1998";"41,60"
"01/11/1998";"38,73"
"01/12/1998";"31,24"
"01/01/1999";"31,19"
"01/02/1999";"38,97"
"01/03/1999";"43,25"
"01/04/1999";"36,12"
"01/05/1999";"27,11"
"01/06/1999";"22,01"
"01/07/1999";"20,74"
"01/08/1999";"19,51"
"01/09/1999";"19,38"
"01/10/1999";"18,91"
"01/11/1999";"18,95"
"01/12/1999";"18,99"
"01/01/2000";"18,94"
"01/02/2000";"18,87"
"01/03/2000";"18,85"
"01/04/2000";"18,62"
"01/05/2000";"18,51"
"01/06/2000";"18,04"
"01/07/2000";"16,85"
"01/08/2000";"16,52"
"01/09/2000";"16,56"
"01/10/2000";"16,60"
"01/11/2000";"16,51"
"01/12/2000";"16,19"
"01/01/2001";"15,49"
"01/02/2001";"15,20"
"01/03/2001";"15,39"
"01/04/2001";"16,02"
"01/05/2001";"16,43"
"01/06/2001";"17,28"
"01/07/2001";"18,57"
"01/08/2001";"19,00"
"01/09/2001";"19,06"
"01/10/2001";"19,06"
"01/11/2001";"19,05"
"01/12/2001";"19,05"
"01/01/2002";"19,05"
"01/02/2002";"18,97"
"01/03/2002";"18,72"
"01/04/2002";"18,38"
"01/05/2002";"18,37"
"01/06/2002";"18,10"
"01/07/2002";"18,17"
"01/08/2002";"17,84"
"01/09/2002";"17,89"
"01/10/2002";"19,59"
"01/11/2002";"21,25"
"01/12/2002";"23,03"
"01/01/2003";"25,06"
"01/02/2003";"25,68"
"01/03/2003";"26,32"
"01/04/2003";"26,32"
"01/05/2003";"26,31"
"01/06/2003";"26,09"
"01/07/2003";"25,36"
"01/08/2003";"23,50"
"01/09/2003";"21,02"
"01/10/2003";"19,54"
"01/11/2003";"18,31"
"01/12/2003";"16,91"
"01/01/2004";"16,32"
"01/02/2004";"16,30"
"01/03/2004";"16,19"
"01/04/2004";"15,96"
"01/05/2004";"15,77"
"01/06/2004";"15,80"
"01/07/2004";"15,77"
"01/08/2004";"15,86"
"01/09/2004";"16,09"
"01/10/2004";"16,41"
"01/11/2004";"16,96"
"01/12/2004";"17,50"
"01/01/2005";"17,93"
"01/02/2005";"18,47"
"01/03/2005";"18,97"
"01/04/2005";"19,32"
"01/05/2005";"19,61"
"01/06/2005";"19,75"
"01/07/2005";"19,72"
"01/08/2005";"19,75"
"01/09/2005";"19,61"
"01/10/2005";"19,25"
"01/11/2005";"18,87"
"01/12/2005";"18,24"
"01/01/2006";"17,65"
"01/02/2006";"17,28"
"01/03/2006";"16,74"
"01/04/2006";"16,19"
"01/05/2006";"15,70"
"01/06/2006";"15,18"
"01/07/2006";"14,98"
"01/08/2006";"14,66"
"01/09/2006";"14,17"
"01/10/2006";"13,95"
"01/11/2006";"13,65"
"01/12/2006";"13,19"
"01/01/2007";"13,13"
"01/02/2007";"12,93"
"01/03/2007";"12,74"
"01/04/2007";"12,58"
"01/05/2007";"12,43"
"01/06/2007";"12,03"
"01/07/2007";"11,73"
"01/08/2007";"11,43"
"01/09/2007";"11,22"
"01/10/2007";"11,18"
"01/11/2007";"11,18"
"01/12/2007";"11,18"
"01/01/2008";"11,18"
"01/02/2008";"11,18"
"01/03/2008";"11,18"
"01/04/2008";"11,37"
"01/05/2008";"11,63"
"01/06/2008";"12,09"
"01/07/2008";"12,36"
"01/08/2008";"12,92"
"01/09/2008";"13,39"
"01/10/2008";"13,66"
"01/11/2008";"13,64"
"01/12/2008";"13,66"
"01/01/2009";"13,32"
"01/02/2009";"12,66"
"01/03/2009";"11,70"
"01/04/2009";"11,11"
"01/05/2009";"10,16"
"01/06/2009";"9,54"
"01/07/2009";"9,01"
"01/08/2009";"8,65"
"01/09/2009";"8,65"
"01/10/2009";"8,65"
"01/11/2009";"8,65"
"01/12/2009";"8,65"
"01/01/2010";"8,65"
"01/02/2010";"8,65"
"01/03/2010";"8,65"
"01/04/2010";"8,72"
"01/05/2010";"9,40"
"01/06/2010";"9,94"
"01/07/2010";"10,32"
"01/08/2010";"10,66"
"01/09/2010";"10,66"
"01/10/2010";"10,66"
"01/11/2010";"10,66"
"01/12/2010";"10,66"
"01/01/2011";"10,85"
"01/02/2011";"11,17"
"01/03/2011";"11,62"
"01/04/2011";"11,74"
"01/05/2011";"11,92"
"01/06/2011";"12,10"
"01/07/2011";"12,25"
