data,ExpecInf,SwapPre360,JurosReal,Selic,meta,ibcbr,ibcbrT,Loutgap
2004-01-01,5.95,15.82,8.91,16.32,5.5,98.59,104.10492712980036,-0.0539023136140341
2004-02-01,5.89,15.69,8.85,16.3,5.5,99.45,104.53648151607456,-0.0492810178605918
2004-03-01,5.59,15.57,9.04,16.19,5.5,111.98,104.9676186439747,0.0653300344429643
2004-04-01,5.56,16.57,9.92,15.96,5.5,107.36,105.39745178037164,0.0191619486834628
2004-05-01,5.73,20.14,12.77,15.77,5.5,106.03,105.82558116306367,0.0026841923955176
2004-06-01,6.16,17.79,10.39,15.8,5.5,107.0,106.25174331791992,0.0078053540911611
2004-07-01,6.34,18.49,10.82,15.77,5.5,111.47,106.67568896656206,0.0447760230875857
2004-08-01,6.29,18.56,10.93,15.86,5.5,110.65,107.0972207928814,0.0334687157984143
2004-09-01,6.27,17.66,10.18,16.09,5.5,109.21,107.5164744190354,0.0164769209119031
2004-10-01,6.21,18.12,10.62,16.41,5.5,108.89,107.9338321879598,0.0096787122574806
2004-11-01,6.23,17.76,10.30,16.96,5.5,109.59,108.34979404853352,0.0122473911485023
2004-12-01,6.13,17.02,9.77,17.5,5.5,107.56,108.76492635017796,-0.0102693799286859
2005-01-01,5.88,17.80,10.66,17.93,4.5,103.52,109.17988156772776,-0.0523586662215125
2005-02-01,5.67,17.41,10.54,18.47,4.5,104.0,109.59522850057662,-0.0515285748342631
2005-03-01,5.62,18.29,11.33,18.97,4.5,115.42,110.01114290078718,0.0488702642527849
2005-04-01,5.70,18.09,11.08,19.32,4.5,112.35,110.42741196288723,0.0181341041711986
2005-05-01,5.60,17.55,10.73,19.61,4.5,110.86,110.844198496481,0.001015083634523
2005-06-01,5.12,17.18,10.86,19.75,4.5,111.5,111.26179882423077,0.0030103907751728
2005-07-01,4.92,17.56,11.38,19.72,4.5,113.15,111.68051036612546,0.0139436704199154
2005-08-01,4.82,17.76,11.63,19.75,4.5,115.15,112.10064708390236,0.0277104643548549
2005-09-01,4.77,17.01,11.05,19.61,4.5,110.95,112.52262498718996,-0.0132014967642764
2005-10-01,4.72,17.25,11.30,19.25,4.5,111.33,112.94707184623596,-0.0135453802111982
2005-11-01,4.63,16.65,10.88,18.87,4.5,111.73,113.37450622121946,-0.0137334816078453
2005-12-01,4.51,15.73,10.20,18.24,4.5,111.25,113.80533437566352,-0.021828609919412
2006-01-01,4.57,15.27,9.75,17.65,4.5,108.55,114.23984837127048,-0.0502053344865682
2006-02-01,4.51,14.58,9.21,17.28,4.5,107.8,114.67816281596636,-0.0609653318148755
2006-03-01,4.35,14.63,9.40,16.74,4.5,119.09,115.1199971893182,0.0347930242716367
2006-04-01,4.17,14.63,9.57,16.19,4.5,112.61,115.56459332069768,-0.0250096371596209
2006-05-01,4.09,15.99,10.83,15.7,4.5,117.19,116.01146873411568,0.0109966803154391
2006-06-01,4.09,15.30,10.23,15.18,4.5,114.4,116.45993577349154,-0.0169586586262013
2006-07-01,4.25,14.75,9.60,14.98,4.5,119.41,116.90938862519369,0.0220482993638215
2006-08-01,4.41,14.12,8.89,14.66,4.5,121.06,117.3590784244951,0.0319279759019401
2006-09-01,4.19,13.86,8.88,14.17,4.5,116.21,117.8084299602365,-0.0127870703872128
2006-10-01,3.98,13.17,8.48,13.95,4.5,119.33,118.25712502970134,0.0098976928886509
2006-11-01,4.08,12.92,8.15,13.65,4.5,118.67,118.70473442809248,0.0005643433634343609
2006-12-01,4.11,12.32,7.59,13.19,4.5,116.3,119.15090345581908,-0.0233715160385203
2007-01-01,4.04,12.24,7.58,13.13,4.5,114.79,119.5952750011772,-0.0401751558336398
2007-02-01,3.90,11.94,7.45,12.93,4.5,113.33,120.03729397305632,-0.0566788002600811
2007-03-01,3.76,11.60,7.29,12.74,4.5,125.11,120.47607158069296,0.0385463257782596
2007-04-01,3.63,10.93,6.81,12.58,4.5,120.29,120.91025324902007,-0.0043559022218309
2007-05-01,3.44,10.49,6.60,12.43,4.5,123.9,121.33880620355517,0.0216573340932573
2007-06-01,3.44,10.61,6.71,12.03,4.5,122.38,121.76065459667352,0.0058244385278598
2007-07-01,3.50,11.05,7.04,11.73,4.5,127.85,122.1749004414307,0.04613628662036
2007-08-01,3.67,11.79,7.54,11.43,4.5,129.05,122.58068876097975,0.0521445563220446
2007-09-01,3.77,11.36,7.06,11.22,4.5,123.24,122.9775586826097,0.0028288576660759
2007-10-01,3.74,11.53,7.24,11.18,4.5,129.17,123.3654985913345,0.0466595589392797
2007-11-01,3.80,12.10,7.69,11.18,4.5,125.88,123.74451509725954,0.017778478650043
2007-12-01,4.18,12.80,7.94,11.18,4.5,122.43,124.11501790086598,-0.0130112269250934
2008-01-01,4.42,12.75,7.68,11.18,4.5,121.86,124.4775650001976,-0.0206019017191012
2008-02-01,4.32,12.47,7.52,11.18,4.5,121.91,124.83259737816606,-0.0230435918378253
2008-03-01,4.31,13.30,8.28,11.18,4.5,128.99,125.1803742423359,0.0306260877443396
2008-04-01,4.45,13.71,8.50,11.37,4.5,129.48,125.5209518421204,0.0317044877190513
2008-05-01,4.77,14.19,8.61,11.63,4.5,128.92,125.85465098427704,0.0247230390557824
2008-06-01,5.21,15.34,9.19,12.09,4.5,130.59,126.1820674094633,0.0350075014839719
2008-07-01,5.53,14.80,8.41,12.36,4.5,136.53,126.5040097297959,0.076957219051037
2008-08-01,5.27,14.39,8.31,12.92,4.5,133.87,126.82159266382156,0.0547948684020607
2008-09-01,5.12,14.45,8.50,13.39,4.5,132.6,127.1366271794113,0.0428058446892709
2008-10-01,5.18,16.01,9.80,13.66,4.5,132.8,127.45141371716788,0.0418679041335048
2008-11-01,5.43,15.12,8.80,13.64,4.5,124.58,127.76863211858424,-0.0244829199998388
2008-12-01,5.15,12.19,6.48,13.66,4.5,118.9,128.09133365475645,-0.0736367265011983
